geometry,population,h3_index,count_cafe,count_university,count_restaurant,count_tourism,count_sport,count_office,count_fastfood,count_transport,count_entertainment,count_bar_pub,count_market,count_mall,population_neigh,count_cafe_neigh,count_university_neigh,count_restaurant_neigh,count_tourism_neigh,count_sport_neigh,count_office_neigh,count_fastfood_neigh,count_transport_neigh,count_entertainment_neigh,count_bar_pub_neigh,count_market_neigh,count_mall_neigh,VoroninScor
"POLYGON ((30.75340226324315 46.54600764867546, 30.756420814211584 46.55020986993659, 30.762052520876633 46.550396263975436, 30.7615482 46.5501813, 30.7602626 46.5495819, 30.7588904 46.5489491, 30.7556787 46.5472571, 30.753626 46.5461033, 30.7534254803072 46.54598531000754, 30.75340226324315 46.54600764867546))",0.0005899318300996329,881e5dc1a9fffff,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.02367609423190498,0.9867549668874173,0.0,0.9479166666666666,0.02857142857142857,0.0,0.021739130434782608,0.9761904761904762,0.1111111111111111,0.10526315789473684,1.0,0.0,0.06060606060606061,-10.0729671725342
"POLYGON ((30.752298661376937 46.55417523383831, 30.756420814211584 46.55020986993659, 30.75340226324315 46.54600764867546, 30.746261915124098 46.545770620124614, 30.74213935698001 46.54973585374128, 30.745157552170365 46.55393824619018, 30.752298661376937 46.55417523383831))",0.027988987939171473,881e5dc1e7fffff,1.0,0.0,0.9846153846153847,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.02834831681868889,0.9867549668874173,0.0,0.96875,0.02857142857142857,0.0,0.021739130434782608,0.9761904761904762,0.1111111111111111,0.0,1.0,0.0,0.06060606060606061,-10.419728062001791
"POLYGON ((30.766580547504837 46.55464785887602, 30.773721323987637 46.554883496308605, 30.77415671227163 46.55446447053318, 30.7738951 46.5543942, 30.773538 46.55429, 30.7719485 46.5538525, 30.770598 46.553463, 30.768762 46.552914, 30.7677095 46.5525762, 30.7662163 46.5520587, 30.7656596 46.5518506, 30.7651426 46.5516573, 30.764170457451613 46.55129383557633, 30.766580547504837 46.55464785887602))",0.005309386470896697,881e5dc185fffff,1.0,0.0,0.9846153846153847,0.0,0.0,0.0,1.0,0.0,0.15384615384615385,1.0,0.0,0.0,0.037889625303497605,0.9867549668874173,0.0,0.96875,0.02857142857142857,0.0,0.021739130434782608,0.9761904761904762,0.1111111111111111,0.05263157894736842,1.0,0.0,0.09090909090909091,-8.02119003927592
"POLYGON ((30.657422801929457 46.46068198055844, 30.66154601036314 46.4567158045296, 30.658535238761115 46.45250558002717, 30.651401616220955 46.452261360763615, 30.647278006180763 46.45622740600962, 30.65028842019348 46.46043780129821, 30.657422801929457 46.46068198055844))",0.00013109596224436288,881e5dc9ddfffff,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0808583240370103,1.0,0.0,1.0,0.0,0.0,0.021739130434782608,1.0,0.1111111111111111,0.0,1.0,0.0,0.030303030303030304,-9.650308581439479
"POLYGON ((30.63902939109022 46.46415866032741, 30.646164313354284 46.46440349389349, 30.65028842019348 46.46043780129821, 30.647278006180763 46.45622740600962, 30.64509004098922 46.45615230616644, 30.64467 46.4615545, 30.636963719149378 46.46126913008209, 30.63902939109022 46.46415866032741))",0.017697954902988988,881e5dc9cbfffff,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.04677472275083667,1.0,0.0,1.0,0.0,0.0,0.010869565217391304,1.0,0.0,0.0,1.0,0.0,0.0,-10.575248785710299
"POLYGON ((30.627768923647203 46.4678783811847, 30.634904385968078 46.46812386924206, 30.63902939109022 46.46415866032741, 30.636963719149378 46.46126913008209, 30.6369224 46.4612676, 30.6368312 46.4616168, 30.6363108 46.4647004, 30.6361398 46.4650447, 30.6360249 46.4653246, 30.6359631 46.465627, 30.6360543 46.4659811, 30.6360449 46.4669979, 30.634728 46.4669966, 30.6333423 46.4668528, 30.632761 46.46686, 30.6322229 46.4669053, 30.6307228 46.466874, 30.6296276 46.4669262, 30.6289093 46.4669584, 30.6288319 46.4669226, 30.6288006 46.4668808, 30.6292476 46.4648196, 30.6289849 46.4648124, 30.6264304 46.4647459, 30.6263555 46.464464, 30.6262525 46.4643694, 30.6260638 46.4643497, 30.625198720544024 46.46428252232047, 30.627768923647203 46.4678783811847))",0.01586261143156791,881e5dc9c9fffff,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.03597348907408623,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-10.806924513645354
"POLYGON ((30.656310130902817 46.46885763584356, 30.660433836084515 46.464891812442715, 30.657422801929457 46.46068198055844, 30.65028842019348 46.46043780129821, 30.646164313354284 46.46440349389349, 30.649174989814803 46.46861349655073, 30.656310130902817 46.46885763584356))",0.1401415836392239,881e5dc837fffff,1.0,0.0,1.0,0.0,0.0,0.02857142857142857,1.0,0.0,0.0,1.0,0.0,0.0,0.1675175536452523,1.0,0.0,1.0,0.0,0.15384615384615385,0.010869565217391304,1.0,0.1111111111111111,0.0,1.0,0.0,0.0,-4.929204312297856
"POLYGON ((30.623643020364895 46.4718431061718, 30.627768923647203 46.4678783811847, 30.625198720544024 46.46428252232047, 30.6248971 46.4642591, 30.6247541 46.4643143, 30.6246455 46.4644088, 30.6243881 46.4650667, 30.6242337 46.4651534, 30.6240278 46.4652046, 30.6235646 46.4652361, 30.6226782 46.4652676, 30.622478 46.4653424, 30.6221978 46.4654212, 30.6206642 46.4654881, 30.6193792 46.4654806, 30.6192553 46.4654747, 30.6191528 46.4658869, 30.6190768 46.4662091, 30.6189398 46.4668191, 30.61793774265245 46.471646313531814, 30.623643020364895 46.4718431061718))",0.05571578395385422,881e5dc827fffff,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.01546033204278496,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-10.214992633512642
"POLYGON ((30.720521536242316 46.47103466239384, 30.724641335381936 46.467066998433985, 30.72162737258063 46.462859370705864, 30.71449396646382 46.46261923583259, 30.71037376378685 46.46658676943665, 30.713387370670308 46.47079456826606, 30.720521536242316 46.47103466239384))",0.6532511798636602,881e5dc881fffff,0.9736842105263158,0.07692307692307693,1.0,0.14285714285714285,0.0,0.2571428571428571,0.9333333333333333,0.0,0.0,1.0,0.0,0.36363636363636365,0.6620250672616314,0.9403973509933775,0.21621621621621623,0.96875,0.7142857142857143,0.3076923076923077,0.33695652173913043,0.9285714285714286,0.0,0.05263157894736842,0.9285714285714286,0.42857142857142855,0.36363636363636365,29.69671313406731
"POLYGON ((30.66645678712868 46.47331051995326, 30.670580090313756 46.46934456581029, 30.66756843611299 46.465135297467526, 30.660433836084515 46.464891812442715, 30.656310130902817 46.46885763584356, 30.65932142765244 46.47306707500755, 30.66645678712868 46.47331051995326))",0.404627687467226,881e5dc833fffff,1.0,0.0,1.0,0.0,0.0,0.02857142857142857,1.0,0.0,0.0,1.0,0.0,0.0,0.2754642693090098,1.0,0.0,1.0,0.02857142857142857,0.15384615384615385,0.03260869565217391,1.0,0.1111111111111111,0.0,1.0,0.0,0.030303030303030304,1.9671447176247767
