name,addr:street,addr:housenumber,amenity,cuisine,geometry
"""Варіон"". Їдальня для малозабезпечених",,13,cafe,no_info,POINT (30.7240263 46.5001936)
12 Coffee & Croissants,,,cafe,breakfast;coffee_shop,POINT (30.7401077 46.4850977)
12 Coffee and Croissants,Львівська вулиця,15Б,cafe,no_info,POINT (30.7459354 46.4014067)
19.53,,,cafe,breakfast;international,POINT (30.7532958 46.4537162)
1981,Балківська вулиця,42,cafe,no_info,POINT (30.7084498 46.4858555)
808 BAR,,,bar,no_info,POINT (30.742278 46.4807527)
A-la Pasta,,,cafe,no_info,POINT (30.8000441 46.5824317)
Afrika,,,restaurant,no_info,POINT (30.7349869 46.483747)
Al Mezze,,,restaurant,middle_eastern;arab,POINT (30.7388973 46.485823)
Alaturka,Успенська вулиця,52,restaurant,turkish,POINT (30.7371578 46.4755909)
Alex Food,,,fast_food,no_info,POINT (30.7389171 46.467046)
Ali baba,,,cafe,no_info,POINT (30.7333521 46.4846256)
Antica Cucine,,,restaurant,no_info,POINT (30.7381166 46.4802797)
Aroma Kava,,,cafe,coffee_shop,POINT (30.7383359 46.4670149)
Aroma Kava,,,cafe,coffee_shop,POINT (30.732244 46.479755)
Aroma Kava,Привокзальна площа,,cafe,coffee,POINT (30.74166 46.4690306)
Aroma Kava,,,cafe,coffee_shop,POINT (30.7345185 46.485613)
Aroma Kava,,,cafe,coffee_shop,POINT (30.7357241 46.4837498)
Art Hall,,,restaurant,no_info,POINT (30.7633689 46.5523391)
Atelier,,,cafe,coffee_shop,POINT (30.7343914 46.4776035)
BAO. 14,,,restaurant,no_info,POINT (30.7404783 46.4860484)
BUDUSUSHI,вулиця Семена Палія,118,cafe,asian;chinese;japanese;sushi,POINT (30.8013224 46.5849355)
BUDUSUSHI,проспект Князя Володимира Великого,109а,cafe,no_info,POINT (30.7841865 46.5811656)
BUDUSUSHI,,,fast_food,asian;sushi,POINT (30.719608 46.4344044)
BUDUSUSHI,вулиця Академіка Заболотного,52,cafe,sushi;soba;coffee_shop;chinese;japanese,POINT (30.7973366 46.5786973)
BUDUSUSHI,еврейская,,fast_food,asian;sushi,POINT (30.7320305 46.4782905)
Bar Mushlya,,,bar,no_info,POINT (30.7416401 46.4873674)
Bar-B-Q,вулиця Ніни Строкатої,18,cafe,barbecue,POINT (30.7409501 46.4811731)
Beer & Meat,,,bar,no_info,POINT (30.726998 46.4010842)
Beer club,,,pub,no_info,POINT (30.7284272 46.4820064)
Bella Vermuteria,,,cafe,no_info,POINT (30.7353826 46.4893376)
Belleville,проспект Шевченка,8/3,cafe,international,POINT (30.7524465 46.4540564)
Benedikt,Садова вулиця,19,restaurant,breakfast,POINT (30.7313711 46.484983)
Benedikt,,,restaurant,international;breakfast,POINT (30.7618112 46.4301869)
Bernardazzi,вулиця Ніни Строкатої,15,restaurant,no_info,POINT (30.7433372 46.4804503)
Biella Caffe,,,cafe,ice_cream,POINT (30.7627625 46.4301433)
Big Burger,,,cafe,burger,POINT (30.7639598 46.4296296)
Bistekka,Дерибасівська вулиця,12,restaurant,no_info,POINT (30.7403484 46.4840924)
Bizon bar,,,bar,no_info,POINT (30.7398319 46.4861061)
Black Bar,,,bar,no_info,POINT (30.7390461 46.4838542)
Black Coffe,проспект Лесі Українки,15,cafe,coffee_shop,POINT (30.7478225 46.4556439)
Boffo,,,bar,no_info,POINT (30.7389573 46.4864338)
Booblik,,,cafe,no_info,POINT (30.7489379 46.4462768)
Boom Berry,,,cafe,no_info,POINT (30.732539 46.4802803)
Booze & Bakery,,,cafe,no_info,POINT (30.7402276 46.4874102)
Budapest,,,restaurant,no_info,POINT (30.7365183 46.4799978)
BuddhaPizza,,,cafe,pizza,POINT (30.7466887 46.4461329)
Budka,вулиця Семена Палія,68,cafe,coffee_shop,POINT (30.7881692 46.5663532)
Budu sushi,,,cafe,asian;sushi,POINT (30.7232881 46.3962672)
Buffalo-99,,,cafe,no_info,POINT (30.7410161 46.4829055)
Bukowski Bar,,,bar,no_info,POINT (30.7392378 46.4857786)
Buono,Соборна площа,2,restaurant,no_info,POINT (30.7309144 46.4845938)
Buzina,вулиця Владислава Бувалкіна,16а,restaurant,no_info,POINT (30.7891436 46.591525)
C&B,,,fast_food,no_info,POINT (30.7388452 46.4856019)
COMO Italy bistro,Ланжеронівська вулиця,14,restaurant,italian,POINT (30.7399831 46.4851147)
Caffeine,Успенська вулиця,2а,cafe,coffee_shop,POINT (30.7552628 46.4748531)
California Republic,Марсельська вулиця,62,fast_food,burger,POINT (30.8012722 46.5702141)
Cannoli,,,cafe,tea;cake;coffee_shop,POINT (30.739642 46.4859197)
Casa Nova,,,restaurant,no_info,POINT (30.7440261 46.483885)
Casa Romani,проспект Шевченка,7,cafe,no_info,POINT (30.7504571 46.4581111)
Cellini,,,restaurant,no_info,POINT (30.7344856 46.4783485)
Central Bar,,,bar,no_info,POINT (30.7400779 46.4873383)
Chicago,,,cafe,coffee_shop,POINT (30.7332581 46.4773081)
Chicken Company,,,cafe,no_info,POINT (30.7374839 46.4760626)
Chin Chin,,,fast_food,chinese,POINT (30.7353667 46.4782768)
Chin-Chin,,,restaurant,chinese,POINT (30.8015174 46.5842495)
Chinatown,,,restaurant,chinese,POINT (30.7308488 46.4852796)
Chinese food,,,restaurant,no_info,POINT (30.7462406 46.4381084)
City Buffet,,,cafe,no_info,POINT (30.7380369 46.4798771)
City Burger,проспект Небесної Сотні,2,cafe,burger,POINT (30.7123175 46.4156362)
City Garden,Гаванна вулиця,10,restaurant,no_info,POINT (30.7353167 46.48481)
Clover Coffee,Мала Арнаутська вулиця,119,cafe,no_info,POINT (30.7286585 46.4718447)
Coffee & Hot-dog,,,cafe,hot_dog,POINT (30.7600579 46.4088565)
Coffee 888,,,cafe,no_info,POINT (30.7163752 46.4306283)
Coffee BLiss,Європейська вулиця,,cafe,coffee_shop,POINT (30.7374424 46.4732759)
Coffee Club & Mechanics,Торгова вулиця,26,cafe,no_info,POINT (30.7255465 46.4875309)
Coffee Love,,,cafe,coffee_shop,POINT (30.7171707 46.4292438)
Coffee Love,,,cafe,coffee_shop,POINT (30.719754 46.4296136)
Coffee Love,,,cafe,coffee_shop,POINT (30.7172887 46.4282361)
Coffee Love,,,cafe,coffee_shop,POINT (30.7159878 46.4294285)
Coffee Love,,,cafe,coffee_shop,POINT (30.7176111 46.4296075)
Coffee Love,,,cafe,coffee_shop,POINT (30.7173538 46.4306667)
Coffee Shop,,,cafe,coffee_shop,POINT (30.7936461 46.5821748)
Coffee Shot,,,cafe,cake;coffee_shop,POINT (30.7297039 46.4859066)
Coffee Time,,,cafe,coffee_shop,POINT (30.7164298 46.4290164)
Coffta-Coffee,,,cafe,no_info,POINT (30.7569185 46.479775)
Cooper Burgers,,,cafe,burger,POINT (30.7412742 46.4823114)
Daily,,,cafe,no_info,POINT (30.7399774 46.476069)
Daily,,,cafe,cake;coffee_shop;tea,POINT (30.7514375 46.478058)
Desire,,,restaurant,french,POINT (30.7375251 46.4852709)
Di Mare,,,restaurant,no_info,POINT (30.7484854 46.4922689)
Domino's,,,fast_food,pizza,POINT (30.7226464 46.3909329)
Domino's,,,fast_food,pizza,POINT (30.7363056 46.4835581)
Domino's,,,fast_food,pizza,POINT (30.7825605 46.5758698)
Domino's,Адміральський проспект,1,fast_food,pizza,POINT (30.7454045 46.4372037)
Domino's,проспект Шевченка,8/3,fast_food,pizza,POINT (30.7522394 46.4541368)
Drova,Десантний бульвар,14-А,fast_food,shawarma;hot_dog;kebab,POINT (30.7925774 46.5740743)
Dvor 12,,,bar,no_info,POINT (30.7423345 46.4866282)
El Corazon,,,cafe,no_info,POINT (30.7405363 46.4594132)
Espresso,,,cafe,no_info,POINT (30.7430879 46.4456788)
Express lounge,,,cafe,no_info,POINT (30.7083101 46.4767363)
FRESCO CAFE,Маразліївська вулиця,,restaurant,no_info,POINT (30.7501796 46.4834166)
Fab,,,cafe,no_info,POINT (30.7478422 46.4758632)
Family,,,cafe,asian;thai;vietnamese;japanese,POINT (30.7380968 46.4828469)
Fanconi,Європейська вулиця,15,restaurant,italian,POINT (30.7391839 46.484888)
Fashion Cafe IT,,,cafe,no_info,POINT (30.7309916 46.4846841)
Fishka,Преображенська вулиця,,pub,no_info,POINT (30.7331742 46.4853211)
Flagman,Олександрівський проспект,6,restaurant,no_info,POINT (30.7344753 46.4801454)
Food and brut,,,cafe,no_info,POINT (30.7599422 46.4562183)
For For,,,cafe,no_info,POINT (30.7295964 46.4258583)
Foundation Coffee,вулиця Святослава Караванського,19,cafe,coffee_shop,POINT (30.7396983 46.4794318)
Fox & Pipe Harbor,Дерибасівська вулиця,33,bar,no_info,POINT (30.7334417 46.4836921)
Fratelli,Грецька вулиця,17,restaurant,no_info,POINT (30.7415533 46.4820279)
Frebule,Канатна вулиця,27/1,restaurant,european;wine;french,POINT (30.7482528 46.4781186)
Fresh Line,,,cafe,sandwich,POINT (30.7387602 46.4669456)
FreshLine,Аркадійська алея,1,cafe,no_info,POINT (30.7653256 46.4288559)
Fruzzi,,,cafe,ice_cream,POINT (30.7635203 46.4298091)
GASTROBAR,Європейська вулиця,8/10,fast_food,no_info,POINT (30.7389153 46.4858936)
GQ Restobar,,,restaurant,no_info,POINT (30.7362219 46.482661)
Gaga,,,restaurant,georgian,POINT (30.7367255 46.4814703)
Gatsby,,,cafe,no_info,POINT (30.7335888 46.4770086)
Givi to me,,,restaurant,no_info,POINT (30.740878 46.4820402)
Glasgow,,,bar,no_info,POINT (30.7339741 46.4758183)
GluKoza,,,cafe,no_info,POINT (30.7355848 46.4847878)
Go Burger,,,fast_food,burger,POINT (30.7512758 46.4781494)
Golden Rice,провулок Віце-адмірала Жукова,3/7,restaurant,no_info,POINT (30.7349899 46.4838077)
Graf,,,restaurant,no_info,POINT (30.7365972 46.4881698)
Grand Prix,вулиця Ніни Строкатої,24,restaurant,french,POINT (30.7392653 46.4812945)
Grill 24,,,fast_food,no_info,POINT (30.7963177 46.5770653)
Grill House,,,restaurant,no_info,POINT (30.7314935 46.4749003)
Gyros Lavas,,,fast_food,no_info,POINT (30.7380004 46.4676528)
Halal у Захара,,,fast_food,kebab,POINT (30.7209114 46.3991613)
Happy People,,,cafe,no_info,POINT (30.7182641 46.4302832)
Hayat,проспект Князя Ярослава Мудрого,36/1,restaurant,georgian,POINT (30.7103426 46.3982052)
Icetory,,,cafe,no_info,POINT (30.7309971 46.4851928)
Indian Tandori,,,cafe,indian,POINT (30.7357413 46.4858997)
Infinity Coffee,,,cafe,no_info,POINT (30.7117995 46.4295165)
Introvert Coffee,,,cafe,no_info,POINT (30.7479396 46.4324139)
Irish pub,,,restaurant,no_info,POINT (30.7397436 46.4839888)
Italian Pizza,,,fast_food,pizza,POINT (30.7299121 46.4272167)
Ivy Coffee & Bakery,,,cafe,coffee_shop,POINT (30.729544 46.4260052)
Izzi,,,cafe,no_info,POINT (30.7348629 46.4810409)
Jakko,вулиця Семена Палія,86/1,cafe,coffee_shop,POINT (30.7934427 46.5736453)
Jardin,Гаванна вулиця,10,restaurant,no_info,POINT (30.7354849 46.4850818)
Just Buy Coffee,,,cafe,no_info,POINT (30.7375656 46.4795712)
KFC,,,fast_food,chicken,POINT (30.7372588 46.4843653)
Kadorr Cafe,Європейська вулиця,27,cafe,no_info,POINT (30.739353 46.481934)
Kami,проспект Лесі Українки,11,cafe,sushi,POINT (30.7520023 46.4572408)
Kava Hub,,,cafe,coffee_shop,POINT (30.7991224 46.5813215)
Kinza,Дерибасівська вулиця,31,cafe,georgian,POINT (30.7341811 46.4842546)
Kitsa Pan Asian bistro & bar,Грецька вулиця,32,restaurant,no_info,POINT (30.7392313 46.4827487)
KlaraBara,Преображенська вулиця,28,restaurant,no_info,POINT (30.7334751 46.485166)
Kohinoor,,,cafe,coffee_shop,POINT (30.7416753 46.4807925)
Kors,вулиця Владислава Бувалкіна,36/3,cafe,no_info,POINT (30.7986656 46.5878215)
Kum Kim,вулиця Ніни Строкатої,35,cafe,asian,POINT (30.7342833 46.4813248)
La Veranda,вулиця Ніни Строкатої,21,restaurant,italian,POINT (30.741115 46.4808314)
LaVash Project Cafe,проспект Князя Володимира Великого,114/2,fast_food,burger;pizza,POINT (30.795336 46.5880831)
Lapsha,,,restaurant,no_info,POINT (30.7146017 46.4295759)
Le Grill,Генуезька вулиця,24б,restaurant,no_info,POINT (30.7583807 46.4357039)
Legend,вулиця Ніни Строкатої,42,cafe,international,POINT (30.7326363 46.4817176)
Lex,,,cafe,no_info,POINT (30.7450788 46.4417751)
Lou Lou,,,restaurant,no_info,POINT (30.7389208 46.4861018)
Lviv Croissants,,,cafe,no_info,POINT (30.763097 46.430089)
Lviv Croissants,,,cafe,no_info,POINT (30.7495515 46.4792141)
Lviv Croissants,,,fast_food,sandwich,POINT (30.738437 46.484757)
Lviv Croissants,,,fast_food,sandwich,POINT (30.7330633 46.4853249)
Lviv Croissants,,,cafe,no_info,POINT (30.7496503 46.4411529)
Lviv Croissants,,,cafe,no_info,POINT (30.7389545 46.4672307)
Lviv Croissants,вулиця Владислава Бувалкіна,43,fast_food,sandwich,POINT (30.799507 46.5857971)
MAMAN на Фонтане,Фонтанська дорога,93/1,restaurant,no_info,POINT (30.752697 46.4159361)
MAMAN на морі. Одеська Кухня,Ланжерон пляж,1,restaurant,no_info,POINT (30.7653586 46.4757212)
MONICA,,,restaurant,no_info,POINT (30.7389092 46.4829508)
MY.BUTTER,Європейська вулиця,14,restaurant,tea;breakfast;european;french;brunch;coffee,POINT (30.7387096 46.4849605)
Macaroonna,,,cafe,no_info,POINT (30.7263036 46.4814282)
Madison,,,bar,no_info,POINT (30.739007 46.486734)
Madlen,вулиця Академіка Заболотного,28,cafe,cake;coffee_shop,POINT (30.793148 46.5791833)
Maestro,,,cafe,pizza,POINT (30.7370346 46.4686854)
Magic Party Zone,,,bar,no_info,POINT (30.7218108 46.4167221)
Make My Cake Cafe,,,cafe,cake;coffee_shop,POINT (30.7387013 46.478017)
MamaCasalla,,,restaurant,regional;breakfast,POINT (30.7498063 46.4606535)
Maman,Ланжеронівська вулиця,18,restaurant,regional;breakfast;mediterranean,POINT (30.7397521 46.4851194)
Manarola,,,restaurant,no_info,POINT (30.7634571 46.5522266)
Mangal House,Аркадійська алея,1,restaurant,no_info,POINT (30.7625839 46.4302186)
Mangal No. 1,,,restaurant,no_info,POINT (30.7377973 46.475325)
Marie L'eclair,Соборна площа,1,cafe,french,POINT (30.7306269 46.4823642)
Mario's,Садова вулиця,15,restaurant,international;pizza,POINT (30.7304935 46.4854698)
Mario’s Trattoria,,,restaurant,pizza,POINT (30.7412459 46.4842358)
Mash Taproom,,,bar,no_info,POINT (30.7373197 46.4853051)
Mega Coffee,,,cafe,no_info,POINT (30.7339152 46.4827937)
Merry Berry,,,cafe,bagel;coffee_shop;sandwich,POINT (30.734695 46.4812891)
Merry Berry,,,cafe,coffee_shop;ice_cream;sandwich,POINT (30.7636348 46.4297607)
Merry Berry,проспект Небесної Сотні,2,cafe,coffee_shop,POINT (30.7094811 46.4162175)
Merry Berry,,,cafe,no_info,POINT (30.7467925 46.4718344)
Merry Berry,,,cafe,no_info,POINT (30.7376991 46.467411)
Merry Berry,,,cafe,no_info,POINT (30.7383889 46.4784201)
Merry Berry,Кримська вулиця,,cafe,no_info,POINT (30.7902283 46.5787428)
Merry Berry,,,cafe,no_info,POINT (30.760552 46.434319)
Merry Berry,,,cafe,no_info,POINT (30.7106366 46.4212675)
Merry Berry,,,cafe,no_info,POINT (30.7584465 46.4353763)
Merry Berry,вулиця Добровольців,10Б,cafe,coffee_shop,POINT (30.7484453 46.4473263)
Merry Berry,проспект Лесі Українки,23а,cafe,no_info,POINT (30.7451382 46.4546356)
Merry Berry,,,cafe,no_info,POINT (30.7393661 46.4867576)
Merry Berry Cafe,,,cafe,no_info,POINT (30.750331 46.462263)
Mick O'Neills,,,pub,no_info,POINT (30.7397533 46.4838506)
Misi,,,restaurant,no_info,POINT (30.7385422 46.4799404)
Mister Sova (coffee),вулиця Левітана,114/3,cafe,no_info,POINT (30.7081918 46.4057947)
Mokka Coffee,Садова вулиця,7,cafe,coffee_shop,POINT (30.7288206 46.4863248)
Mr. Chef,,,fast_food,no_info,POINT (30.7369797 46.4700258)
Mr. Chef,,,fast_food,no_info,POINT (30.738581 46.4669599)
Mr.Grigof,проспект Князя Володимира Великого,114/2,fast_food,shawarma;pizza;burger;kebab,POINT (30.7960332 46.5877622)
My Coffee,проспект Шевченка,11а,cafe,coffee,POINT (30.7522694 46.4554252)
My Coffee,Аркадійська алея,1,cafe,coffee_shop,POINT (30.7644253 46.429238)
NASH ресторан української кухні,Аркадійська алея,1,restaurant,no_info,POINT (30.7661729 46.428683)
Navi,вулиця Ніни Строкатої,28,restaurant,sushi,POINT (30.7378243 46.4813982)
Nikos Greek Bistro,Грецька вулиця,32,restaurant,greek,POINT (30.7388816 46.4827945)
Noire Smoke Different,вулиця Ніни Строкатої,27,restaurant,barbecue;breakfast;burger;chicken;coffee_shop;diner;fine_dining,POINT (30.737511 46.4811317)
Nonna,,,fast_food,pizza,POINT (30.7401809 46.469679)
Nonna,Преображенська вулиця,42,restaurant,pasta;italian;pizza;burger,POINT (30.7324962 46.4818137)
Nonna Letizia,Олександрівський проспект,8,restaurant,no_info,POINT (30.7346767 46.4796172)
Odd Brew,,,pub,no_info,POINT (30.744085 46.4809295)
Olio Pizza,,,cafe,pizza,POINT (30.7348803 46.4811911)
Olio Pizza,,,restaurant,pizza,POINT (30.7364186 46.4853516)
Omega Three,Ланжеронівська вулиця,5,cafe,breakfast;tea,POINT (30.7434126 46.4846217)
One Gogi,вулиця Ніни Строкатої,29,cafe,georgian,POINT (30.7370357 46.4811344)
PONCHO Snack Art Bar,,,bar,no_info,POINT (30.7396809 46.4827243)
Panda,,,cafe,asian,POINT (30.7637441 46.4297156)
Pappa Pia,,,fast_food,crepe;pancake,POINT (30.7512971 46.4782443)
Passini,Успенська вулиця,47,cafe,pizza,POINT (30.7442008 46.4750444)
Pasta & Pizza,Дерибасівська вулиця,18,restaurant,no_info,POINT (30.7368572 46.4843771)
Pepe Pizza,,,cafe,pizza,POINT (30.7245869 46.4246354)
Pizza & Grill,,,restaurant,pizza;grill,POINT (30.740358 46.4878584)
Pizza & Grill,проспект Князя Володимира Великого,96а,cafe,pizza;grill,POINT (30.7850378 46.5804277)
Pizza & Grill,,,restaurant,no_info,POINT (30.7598612 46.4350014)
Pizza City,,,restaurant,pizza,POINT (30.7383255 46.4828073)
Pizza Mania,,,fast_food,no_info,POINT (30.7380497 46.467)
Pizza od ua,вулиця Незалежності,11/1,restaurant,pizza,POINT (30.745482 46.449536)
Pizza&Gril,,,restaurant,no_info,POINT (30.7205091 46.3912849)
PokeWay,Преображенська вулиця,38,cafe,pasta;seafood;soba,POINT (30.7326159 46.4827053)
Pokee,,,cafe,no_info,POINT (30.7391336 46.4736507)
Pomodoro,проспект Шевченка,2А,restaurant,pizza,POINT (30.7498853 46.4614084)
Pomodoro,проспект Небесної Сотні,2,restaurant,pizza,POINT (30.7124698 46.4159386)
Pomodoro,вулиця Затонського,32,restaurant,pizza,POINT (30.7936596 46.583386)
Pomodoro,Рішельєвська вулиця,44/46,fast_food,no_info,POINT (30.739388 46.4751398)
Pomodoro,,,cafe,no_info,POINT (30.766036 46.4285315)
Prana,провулок Футуристів,8,cafe,tea,POINT (30.7340638 46.4870703)
Presto Pizza,,,restaurant,pizza,POINT (30.7801512 46.5707164)
Priority Cafe,Велика Арнаутська вулиця,2/1,cafe,no_info,POINT (30.752947 46.4718467)
RedCaf,,,cafe,coffee_shop,POINT (30.7429088 46.4707864)
"Restaurant ""Stella Residence Club""",Ванний провулок,3,restaurant,regional,POINT (30.7597572 46.4128903)
Resto-Presto,вулиця Семена Палія,86,cafe,pizza,POINT (30.7933375 46.5732143)
Restoran Dizyngoff,Європейська площа,5,cafe,no_info,POINT (30.7396367 46.4870555)
Roll Club,вулиця Семена Палія,94,restaurant,sushi,POINT (30.7950576 46.5757358)
Romeo & Bagetta,Грецька площа,3/4,food_court,no_info,POINT (30.7355945 46.4831666)
Rossetti,вулиця Владислава Бувалкіна,14б,cafe,pizza,POINT (30.7907441 46.5907169)
Runa Кальянна,вулиця Новосельського,41,bar,burger;sandwich;grill;sausage;local;coffee_shop,POINT (30.722057 46.485545)
SHOPOT,,,cafe,coffee_shop,POINT (30.791347 46.5750197)
Sahar,,,cafe,no_info,POINT (30.7248899 46.482512)
Salat Bar,Рішельєвська вулиця,64,restaurant,no_info,POINT (30.7388266 46.4721727)
Salute!,провулок Віце-адмірала Жукова,3/7,cafe,cake;coffee_shop;tea,POINT (30.7347031 46.4838025)
San Michele,провулок Футуристів,8,cafe,coffee_shop,POINT (30.7341949 46.4870673)
Santorini,,,cafe,no_info,POINT (30.7716754 46.4391182)
Shaurma,,,fast_food,shawarma,POINT (30.7271102 46.3991292)
Shaurma na tairova,,,fast_food,shawarma,POINT (30.7270185 46.3991196)
Shisha,,,bar,no_info,POINT (30.7380139 46.4794911)
Shisha Lounge Bar,вулиця Сім'ї Глодан,18а,bar,no_info,POINT (30.7157287 46.3940318)
Shopot,,,cafe,coffee_shop,POINT (30.7995776 46.5699922)
Sirvan,вулиця Ніни Строкатої,40,bar,no_info,POINT (30.7339359 46.481626)
Slow Piggy,Гаванная,12,cafe,no_info,POINT (30.7355792 46.4847057)
Slow Piggy,Генуезька вулиця,3б,restaurant,no_info,POINT (30.7593738 46.4363374)
Solo,Космонавтов,17д/1,cafe,coffee_shop,POINT (30.7177385 46.4300411)
Sophie Cafe,провулок Некрасова,7,restaurant,no_info,POINT (30.7338635 46.4888102)
Sova,Сегедська вулиця,18,restaurant,no_info,POINT (30.742239 46.445757)
Starline,,,cafe,mexican,POINT (30.738365 46.4676291)
Stop & Go,,,cafe,no_info,POINT (30.708581 46.4770601)
Street Hous Cafe,,,cafe,no_info,POINT (30.7378637 46.452054)
SuKe,,,restaurant,japanese;asian,POINT (30.7398686 46.4827252)
Sushi 360,,,cafe,sushi,POINT (30.7124159 46.4157121)
Sushi Krabi,,,restaurant,asian;thai;japanese,POINT (30.7349931 46.4838231)
Sushi Story,вулиця Владислава Бувалкіна,40/44,fast_food,sushi,POINT (30.7998274 46.5863753)
Sushi Story,,,fast_food,sushi,POINT (30.7228318 46.3908262)
Sushi Story,проспект Князя Володимира Великого,129,fast_food,sushi,POINT (30.7904333 46.5868422)
Teppan,,,fast_food,no_info,POINT (30.7387028 46.4675665)
The BAGEL,,,cafe,no_info,POINT (30.7215193 46.3991412)
The Fitz,,,bar,no_info,POINT (30.7389655 46.4863529)
The Fitz,,,bar,no_info,POINT (30.7391989 46.4875955)
The Loft,,,restaurant,no_info,POINT (30.7017708 46.4389318)
The Roastery,,,cafe,international;coffee_shop,POINT (30.761773 46.430418)
The Ложка,,,restaurant,no_info,POINT (30.7438997 46.4754842)
TipTop,,,cafe,coffee_shop,POINT (30.7898786 46.5786474)
Top Sandwich,,,cafe,no_info,POINT (30.735156 46.4696565)
Top Waffle,,,cafe,waffle,POINT (30.739777 46.4841422)
Traveler's Coffee,,,cafe,no_info,POINT (30.7399947 46.4841281)
True,,,restaurant,no_info,POINT (30.7494583 46.4792566)
Turkish Coffee,,,cafe,coffee_shop,POINT (30.7252702 46.4134638)
Turkuaz,Дерибасівська вулиця,12,restaurant,turkish,POINT (30.740422 46.4841189)
Underpub,,,pub,no_info,POINT (30.7414184 46.4899377)
Unit,Тираспольська вулиця,22,bar,no_info,POINT (30.726188 46.4771462)
VLAVASHE,вулиця Ніни Строкатої,38,cafe,burger;hot_dog;oriental;sandwich,POINT (30.734718 46.481613)
VLAVASHE,вулиця Ярослава Баїса,36,fast_food,shawarma;burger;sandwich,POINT (30.8083786 46.5780036)
VLAVASHE,Пантелеймонівська вулиця,17б/1,fast_food,kebab;burger;hot_dog,POINT (30.7416472 46.4689999)
Vandal,,,restaurant,no_info,POINT (30.738907 46.4859974)
Varadero,,,restaurant,no_info,POINT (30.7546322 46.4729544)
Vegano hooligan,,,fast_food,no_info,POINT (30.7419386 46.4708608)
Vesna,,,cafe,no_info,POINT (30.7264001 46.4216049)
Vivus Coffee & Roasters,Соборна площа,1,cafe,coffee_shop,POINT (30.7316175 46.4823247)
WAYCUP,вулиця Ніни Строкатої,28,cafe,coffee_shop,POINT (30.7377307 46.4814048)
WOG кафе,,,cafe,no_info,POINT (30.6746693 46.442444)
Wake up,,,cafe,no_info,POINT (30.7243883 46.479269)
Whoopie,,,cafe,american;breakfast,POINT (30.7423967 46.4777928)
Wild Sandwich,Троїцька вулиця,56,cafe,asian;burger;lebanese;sandwich,POINT (30.732509 46.4773589)
Woka,Аркадійська алея,1,cafe,asian,POINT (30.7658387 46.4288792)
Woof sushi,,,restaurant,sushi,POINT (30.7295401 46.4260811)
YUG,Маячний провулок,15,restaurant,french;georgian;greek;italian;spanish,POINT (30.7499268 46.3815022)
YUSUMI,,,restaurant,coffee_shop;japanese;pizza;thai,POINT (30.7484744 46.4470169)
Yakitoria,,,restaurant,japanese,POINT (30.7393545 46.483878)
Yammy,,,fast_food,fried_food,POINT (30.7298504 46.4271691)
Yellow,,,cafe,breakfast;chicken;diner;regional;tea,POINT (30.7513321 46.4781019)
You cake,,,cafe,no_info,POINT (30.7498017 46.4428603)
Yourz Asia Bar,вулиця Ніни Строкатої,17,restaurant,asian,POINT (30.7419385 46.4807772)
Yun,,,restaurant,chinese,POINT (30.731322 46.4730298)
Zagranica,,,cafe,pizza,POINT (30.7624771 46.4303885)
Zara Pizzara,Рішельєвська вулиця,5,restaurant,pizza,POINT (30.7411363 46.4836296)
Zavernulli,,,fast_food,chicken;friture;grill;mediterranean;pizza,POINT (30.7225641 46.4009142)
Zelda Bar,Ланжеронівська вулиця,26,bar,no_info,POINT (30.7375506 46.4852889)
Zucchini,провулок Олександра Матросова,1/1,restaurant,pizza,POINT (30.7498036 46.4607272)
beach club,,,cafe,no_info,POINT (30.7654717 46.4772723)
kavomolka,,,cafe,coffee_shop,POINT (30.7906734 46.5786387)
Ігрове кафе level,,,cafe,no_info,POINT (30.7342199 46.4764604)
Ікра,13-я Станция Большого Фонтана пляж,9,restaurant,no_info,POINT (30.7540421 46.3993536)
Іржавий краб,,,restaurant,no_info,POINT (30.7361539 46.4856264)
Італійський квартал,Преображенська вулиця,62,restaurant,italian_pizza,POINT (30.7319314 46.4777349)
Італійський квартал,вулиця Академіка Заболотного,52,restaurant,italian_pizza,POINT (30.7973969 46.578834)
Італійський квартал,,,restaurant,italian,POINT (30.7368823 46.4795993)
Італійський квартал,,,restaurant,italian_pizza,POINT (30.7498118 46.4426355)
Італійський квартал,проспект Князя Володимира Великого,129,restaurant,italian_pizza,POINT (30.7901864 46.5866496)
Італійський квартал,,,restaurant,pizza,POINT (30.7205105 46.4349964)
Італійський квартал,,,restaurant,pizza,POINT (30.7510538 46.4269047)
Їдальня,,,restaurant,no_info,POINT (30.6990624 46.4866656)
Їдальня,,,food_court,no_info,POINT (30.7668592 46.4327606)
Їдальня,,,cafe,no_info,POINT (30.7492998 46.4470002)
Їдальня,,,fast_food,regional,POINT (30.7218364 46.4808482)
Їдальня,,,cafe,no_info,POINT (30.7157564 46.500882)
Їдальня,,,fast_food,ukrainian,POINT (30.7125844 46.4686937)
Їдальня,,49,fast_food,no_info,POINT (30.760684 46.4549686)
"Їдальня поліклініки санаторія ""Куяльник""",,,restaurant,no_info,POINT (30.7282917 46.5585284)
Їдальня №8,,,cafe,no_info,POINT (30.7242177 46.4995046)
Авокадо,,,restaurant,no_info,POINT (30.7644905 46.4741017)
Азбука здоровʼя,,,cafe,no_info,POINT (30.7493809 46.4263952)
