name:en,addr:street,addr:housenumber,category,geometry
,,,Office / Business Center,POINT (30.731775199999994 46.5295182)
,,,Office / Business Center,POINT (30.746305999999993 46.4380801)
TavriaV Headoffice,,,Office / Business Center,POINT (30.764852800000003 46.430152099999994)
,,,Office / Business Center,POINT (30.726571700000004 46.4285624)
Honorable consulate of Kazakhstan,,,Office / Business Center,POINT (30.728708400000002 46.47013239999999)
Honorable consulate of Lithuania republic,,,Office / Business Center,POINT (30.740380100000003 46.4764411)
Honorable consulate of South Africa,,,Office / Business Center,POINT (30.750526299999994 46.4832087)
Tavria V,,,Mall / Supermarket,POINT (30.727215299999997 46.4114631)
Tavria V,,,Mall / Supermarket,POINT (30.744918800000004 46.48049989999999)
,вулиця Академіка Філатова,15-а,Office / Business Center,POINT (30.721372999999993 46.433464900000004)
,Канатна вулиця,71,Entertainment,POINT (30.746978100000003 46.47024819999999)
,вулиця Ніни Строкатої,37,Office / Business Center,POINT (30.733724299999995 46.48135909999999)
,,,Office / Business Center,POINT (30.758931899999997 46.44493769999999)
,,,Office / Business Center,POINT (30.759851900000005 46.43200079999999)
,,,Sport Facility,POINT (30.723854000000003 46.412045)
,Італійська вулиця,75,Entertainment,POINT (30.741373099999997 46.4709045)
,,,Office / Business Center,POINT (30.746119099999998 46.46454469999999)
,,,Tourism / Beach,POINT (30.768058100000005 46.4461048)
,,,Office / Business Center,POINT (30.7479503 46.4797854)
,,,Office / Business Center,POINT (30.7341535 46.455037399999995)
,,,Office / Business Center,POINT (30.731214899999994 46.45447819999999)
Silpo,,,Mall / Supermarket,POINT (30.762119200000004 46.43201460000001)
Tavria V,вулиця Ніни Строкатої,21,Mall / Supermarket,POINT (30.740708100000003 46.4808575)
Dva Shaha,Грецька вулиця,19,Mall / Supermarket,POINT (30.740921500000002 46.482262399999996)
,вулиця Павла Зеленого,41,Office / Business Center,POINT (30.728854600000002 46.484339)
TavriaV,,,Mall / Supermarket,POINT (30.7649991 46.43119649999999)
,,,Mall / Supermarket,POINT (30.741871900000003 46.4367498)
Silpo,,,Mall / Supermarket,POINT (30.748592999999993 46.4381873)
,,,Office / Business Center,POINT (30.7968828 46.57790430000001)
,,,Office / Business Center,POINT (30.723920000000003 46.426285)
Thrash!,,,Mall / Supermarket,POINT (30.7920222 46.5717488)
,,,Sport Facility,POINT (30.709892999999994 46.45077369999999)
,,38,Office / Business Center,POINT (30.722329200000004 46.4878466)
Obzhora,,,Mall / Supermarket,POINT (30.721053500000004 46.4942485)
Kopeyka,вулиця Івана Франка,55,Mall / Supermarket,POINT (30.7410678 46.4314444)
,вулиця Інглезі,5,Office / Business Center,POINT (30.723163 46.4146888)
,,,Office / Business Center,POINT (30.743130999999998 46.45025100000001)
,,,Office / Business Center,POINT (30.7430989 46.4498629)
,,,Office / Business Center,POINT (30.743157899999993 46.4501475)
,,,Office / Business Center,POINT (30.743120299999998 46.449981199999996)
,,,Sport Facility,POINT (30.7096406 46.416853599999996)
,,,Sport Facility,POINT (30.716731099999997 46.4049304)
,,,Office / Business Center,POINT (30.799019199999996 46.58897580000001)
,,,Office / Business Center,POINT (30.799159699999997 46.58920789999999)
,,,Office / Business Center,POINT (30.7991185 46.589051399999995)
,,,Office / Business Center,POINT (30.7988921 46.58101249999999)
,,,Office / Business Center,POINT (30.799171600000005 46.5813933)
,,,Office / Business Center,POINT (30.79961 46.58201059999999)
Slon,,,Office / Business Center,POINT (30.799467000000003 46.58182029999999)
Hranat,,,Entertainment,POINT (30.739361000000002 46.48678530000001)
"""Privokzalnaya"" bus station",,,Transport Hub,POINT (30.7395833 46.4664026)
,,,Office / Business Center,POINT (30.723442500000004 46.49228719999999)
,,,Office / Business Center,POINT (30.747283800000005 46.4745259)
,,,Office / Business Center,POINT (30.744063100000005 46.4783039)
,,,Office / Business Center,POINT (30.747366700000004 46.47924789999999)
,,,Office / Business Center,POINT (30.716610000000003 46.474179199999995)
,,,Office / Business Center,POINT (30.716518799999996 46.4741866)
ATB-Market,,,Mall / Supermarket,POINT (30.720314900000005 46.47419599999999)
Sport Life,вулиця Затонського,32,Sport Facility,POINT (30.793093199999998 46.58423319999999)
,,,Entertainment,POINT (30.736501600000004 46.483613899999995)
,,,Office / Business Center,POINT (30.707401200000003 46.43276960000001)
,,1/20,Office / Business Center,POINT (30.756579700000003 46.4803316)
,,,Tourism / Beach,POINT (30.7478491 46.49227440000001)
,,,Tourism / Beach,POINT (30.7342331 46.49086710000001)
Aqua,Кримська вулиця,56б,Sport Facility,POINT (30.789842599999993 46.5757553)
Strekoza,вулиця Владислава Бувалкіна,37,Sport Facility,POINT (30.797168500000005 46.5867883)
Vertical,проспект Князя Володимира Великого,122/1а,Sport Facility,POINT (30.7977687 46.591217099999994)
Spartak,,,Sport Facility,POINT (30.788601900000003 46.570274399999995)
Vertical,,,Sport Facility,POINT (30.801889099999997 46.5830463)
,,,Mall / Supermarket,POINT (30.725381600000002 46.4226811)
,Десантний бульвар,14,Office / Business Center,POINT (30.792215100000004 46.5747877)
,Кримська вулиця,62,Office / Business Center,POINT (30.7900663 46.5772645)
,,,Tourism / Beach,POINT (30.73440709999999 46.48861839999999)
,,,Tourism / Beach,POINT (30.7338076 46.48930910000001)
,,,Tourism / Beach,POINT (30.7493538 46.4838945)
Sport Style,вулиця Академіка Сахарова,34,Sport Facility,POINT (30.807358300000004 46.57623769999999)
,,,Sport Facility,POINT (30.8078723 46.5781459)
Izumrud,вулиця Академіка Сахарова,36,Mall / Supermarket,POINT (30.807639800000004 46.5766472)
Avalon,,,Office / Business Center,POINT (30.80417509999999 46.575105)
Premier,,,Office / Business Center,POINT (30.805668999999998 46.5746331)
Avalon,,,Office / Business Center,POINT (30.80825 46.57744649999999)
,,,Tourism / Beach,POINT (30.7394089 46.48331679999999)
Silpo,,,Mall / Supermarket,POINT (30.747519800000003 46.4350204)
Fresh Woman,,,Sport Facility,POINT (30.736709300000005 46.47961899999999)
Obzhora,Князівський провулок,40,Mall / Supermarket,POINT (30.726362699999992 46.4880428)
Hretskyi Shopping Mall,Грецька площа,,Mall / Supermarket,POINT (30.735669500000004 46.4822248)
Atlanta,проспект Шевченка,,Office / Business Center,POINT (30.752143600000004 46.4556045)
Axis,вулиця Ніни Строкатої,24,Entertainment,POINT (30.738778799999995 46.481322500000005)
